user_id,first_name,last_name,city,email,phone,ssn,credit_card,loyalty_id,notes
1,Drew,Diaz,DAL,drew.diaz0@example.com,(916)-662-7980,849-30-1499,3701-3565-8861-9212,L-10473,Called support on ticket 5497
2,Casey,Patel,DAL,casey.patel1@example.com,(295)-573-8347,372-40-3505,7474-3293-9913-5005,L-53032,Called support on ticket 5540
3,Jamie,Olsen,SEA,jamie.olsen2@example.com,(995)-845-8133,729-65-4068,9899-5195-2937-8604,L-24418,Called support on ticket 8716
4,Jamie,Lee,NY,jamie.lee3@example.com,(555)-228-2273,562-96-5195,8275-9253-8410-6662,L-49725,Called support on ticket 5626
5,Sam,Chen,SF,sam.chen4@example.com,(397)-993-1106,187-27-9720,7227-8935-2805-7488,L-43257,Called support on ticket 5400
6,Alex,Olsen,BOS,alex.olsen5@example.com,(730)-323-5803,340-95-8922,2675-5587-9456-8623,L-73712,Called support on ticket 6756
7,Alex,Diaz,SEA,alex.diaz6@example.com,(273)-395-5869,753-55-6515,8841-7173-4251-6788,L-63835,Called support on ticket 1973
8,Alex,Diaz,SF,alex.diaz7@example.com,(678)-458-3030,235-43-8346,4608-4414-6177-9807,L-45301,Called support on ticket 6309
9,Taylor,Olsen,SEA,taylor.olsen8@example.com,(709)-637-7087,960-23-6054,4962-4221-3155-1470,L-46224,Called support on ticket 8434
10,Alex,Chen,BOS,alex.chen9@example.com,(960)-371-1068,703-11-3703,5473-8865-1835-6959,L-57972,Called support on ticket 2184
11,Casey,Nguyen,SEA,casey.nguyen10@example.com,(955)-684-9134,963-60-3527,2308-6065-2731-7751,L-93510,Called support on ticket 3208
12,Jamie,Lee,NY,jamie.lee11@example.com,(501)-906-9724,676-61-6126,1545-4386-9848-4698,L-29197,Called support on ticket 3155
13,Riley,Lee,BOS,riley.lee12@example.com,(900)-653-5209,784-58-5294,3899-5020-7761-1495,L-12267,Called support on ticket 7482
14,Sam,Nguyen,NY,sam.nguyen13@example.com,(924)-298-4741,969-19-6919,7550-4853-1711-5713,L-49001,Called support on ticket 8854
15,Riley,Garcia,NY,riley.garcia14@example.com,(671)-423-7152,876-41-9129,5671-5776-7886-8101,L-91825,Called support on ticket 9991
16,Jordan,Chen,BOS,jordan.chen15@example.com,(445)-204-6184,776-76-8293,6793-2230-8623-4769,L-86265,Called support on ticket 8336
17,Drew,Lee,BOS,drew.lee16@example.com,(702)-587-8136,956-55-1787,7531-3075-3037-2735,L-27866,Called support on ticket 9188
18,Sam,Lee,NY,sam.lee17@example.com,(515)-476-3790,952-87-6159,9876-4060-2237-3443,L-18037,Called support on ticket 9567
19,Jordan,Chen,SF,jordan.chen18@example.com,(983)-326-5639,954-56-9089,9067-7910-7684-6188,L-62258,Called support on ticket 8481
20,Taylor,Brown,BOS,taylor.brown19@example.com,(499)-528-7428,929-18-1618,3232-4869-2464-5675,L-58716,Called support on ticket 9557
21,Riley,Garcia,DAL,riley.garcia20@example.com,(844)-743-7087,378-73-2213,6665-9288-9743-3683,L-39940,Called support on ticket 6570
22,Taylor,Diaz,SF,taylor.diaz21@example.com,(335)-240-5224,291-36-9238,8327-8560-6338-2011,L-77201,Called support on ticket 6433
23,Drew,Chen,NY,drew.chen22@example.com,(675)-564-6932,437-37-2125,9651-7794-5192-3109,L-66528,Called support on ticket 4708
24,Riley,Lee,NY,riley.lee23@example.com,(787)-249-7097,469-10-7875,7297-8336-9058-7569,L-85695,Called support on ticket 2018
25,Drew,Brown,DAL,drew.brown24@example.com,(840)-792-8898,899-56-8346,9239-3674-1419-2531,L-12725,Called support on ticket 4910
26,Alex,Garcia,SF,alex.garcia25@example.com,(764)-398-9547,268-96-6102,3195-1350-3752-6312,L-19814,Called support on ticket 2493
27,Alex,Diaz,NY,alex.diaz26@example.com,(216)-564-3794,612-93-8717,5845-6785-8303-4936,L-69221,Called support on ticket 2947
28,Jamie,Patel,NY,jamie.patel27@example.com,(808)-658-4390,135-31-8214,5212-9639-9104-8685,L-11437,Called support on ticket 1456
