user_id,first_name,last_name,city,email,phone,ssn,credit_card,loyalty_id,notes
1,Drew,Diaz,DAL,uwilson@example.org,+1-660-614-0518x613,*******1499,***************9212,0a0ef9b4e99f2951f1f3e5e7549becd1aeb177cea1a2fd6e944cc6af285ebe43,Called support on ticket 5497
2,Casey,Patel,DAL,carlabyrd@example.net,(969)293-9672x493,*******3505,***************5005,906efc4060c82eca331bf272342d947dabd07100f65aaf8a565b3b93aa4e19b0,Called support on ticket 5540
3,Jamie,Olsen,SEA,juliecampbell@example.org,001-383-675-2300x64854,*******4068,***************8604,21866856dce0992cc3f68877db5a1e5d1c767b9de6d2df5eefcb5bc5f6330d9b,Called support on ticket 8716
4,Jamie,Lee,NY,jordan38@example.org,939.607.7849x0777,*******5195,***************6662,ab75aad779a2c0cddd08fef77fb57a55ac512273e797b857c0445a92c93be680,Called support on ticket 5626
5,Sam,Chen,SF,michael25@example.com,(919)296-6160x686,*******9720,***************7488,8e566f9048c509784c4a63fe443e73a1290640893d3628165de1384a8d580b60,Called support on ticket 5400
6,Alex,Olsen,BOS,jason67@example.com,(997)863-2435x6371,*******8922,***************8623,2e91fd492a376456c14ff55d70a8637f65e44bbcf8129ace487e1cb446f4187b,Called support on ticket 6756
7,Alex,Diaz,SEA,jeffreyjohnson@example.net,5888474273,*******6515,***************6788,1788fe792b864f0c1ffd31f399e2f977bb419d5503355c77b896cd129e4ae72e,Called support on ticket 1973
8,Alex,Diaz,SF,bishopandrew@example.com,(735)861-7494x03006,*******8346,***************9807,e0b1f6986113d68524564c65b9db8dd964c1a1391d6b80f6296e4a5d68dc4b1c,Called support on ticket 6309
9,Taylor,Olsen,SEA,edurham@example.net,909-534-4700,*******6054,***************1470,5b3323efff664c7da461311d96552044a561cfc21a80ab269939c11650bd225f,Called support on ticket 8434
10,Alex,Chen,BOS,maria74@example.net,+1-244-926-3123,*******3703,***************6959,c0db732d0e9d9311ede9915ce0983a8920b474abed2c084ba6a9c58d77281d58,Called support on ticket 2184
11,Casey,Nguyen,SEA,ulester@example.net,+1-303-764-4949x457,*******3527,***************7751,46c55f3aedb00d43eea8efe413d80bbb50ce880c4eeeb000f94701cf76d44b4c,Called support on ticket 3208
12,Jamie,Lee,NY,catherinesolomon@example.net,001-709-851-2113,*******6126,***************4698,d32f528f589c7295152678bfe7428600d53daa3c336b168bb3467fe3019417e6,Called support on ticket 3155
13,Riley,Lee,BOS,bishopcheryl@example.com,998.541.9429,*******5294,***************1495,f682a760fa85fcb8e83a42e910e66c9795ca050d7ba9f90d7e28e44230caf890,Called support on ticket 7482
14,Sam,Nguyen,NY,jennifer65@example.org,001-589-221-4584x65284,*******6919,***************5713,d9de7adb8f7cd933050ce049b25030121b5ead7e1c25ea7d330659bb77ec0f62,Called support on ticket 8854
15,Riley,Garcia,NY,rebeccasmith@example.org,(463)732-6715x978,*******9129,***************8101,e626cc1cf9e1536d07e3d0f4111852734f87176a8bc215caf0d02ad2f388d5be,Called support on ticket 9991
16,Jordan,Chen,BOS,bridget80@example.com,253-426-9707x29948,*******8293,***************4769,0795d666666478e24d660d6fdc0c67ad92031a4e3b619389908f825f51b215df,Called support on ticket 8336
17,Drew,Lee,BOS,andreawood@example.net,001-615-987-0025,*******1787,***************2735,f44a13b4187244c2101de51570afa4c2c335f2e5ed283208abac802dbeb83412,Called support on ticket 9188
18,Sam,Lee,NY,samantha81@example.org,001-262-935-4841x7959,*******6159,***************3443,870e2332d10249d7813a9672093bde9960c8313d88963bac237c1fd4c3d490eb,Called support on ticket 9567
19,Jordan,Chen,SF,xmccann@example.net,(400)822-0539,*******9089,***************6188,c6770a6d6126a4bb605382d1ba1524e3e7857d40fffc7091da09477edc3eea0b,Called support on ticket 8481
20,Taylor,Brown,BOS,raymondshaw@example.net,611-491-5226,*******1618,***************5675,9f4739f4883dbcae9885426c2c8a5739ef55c0ad81b19e6c4126a7316eace3ec,Called support on ticket 9557
21,Riley,Garcia,DAL,cbarrett@example.com,001-246-284-3600x9996,*******2213,***************3683,a56c86972293a648b778581b6be6208e803ebacce0cfae6232640075f84d5d0c,Called support on ticket 6570
22,Taylor,Diaz,SF,nwalters@example.org,(812)691-1820x69366,*******9238,***************2011,db049cfba9502e047cca786b07a82abd7c4ee5445710adce9e03c2761a1bdab1,Called support on ticket 6433
23,Drew,Chen,NY,amandasutton@example.com,+1-221-835-0254x87309,*******2125,***************3109,bf83d5c9ab6b333b375cc14e79f322779530fb442107853f8d4e4e5ba7ce43f4,Called support on ticket 4708
24,Riley,Lee,NY,walkermorgan@example.org,9519026272,*******7875,***************7569,6d3c9e256f8d3a94e83e7b5e2e16c66c524da4599106571ad70c061bee614612,Called support on ticket 2018
25,Drew,Brown,DAL,bobby48@example.org,(867)295-3306x443,*******8346,***************2531,fd56e83bcdaa255bf6ba3d0626302362f6184b84b103279b5379bb0a94e18262,Called support on ticket 4910
26,Alex,Garcia,SF,glen05@example.net,7739747778,*******6102,***************6312,c58d0296ffdffcd55507365b3302dc50e16921ad785cdfebc3e3cf3a14da52bd,Called support on ticket 2493
27,Alex,Diaz,NY,sarah24@example.com,+1-943-261-5657x075,*******8717,***************4936,9a37216b3d953f2611f09f59218a4d8a7c6421b152581ccecd23b6c1c3ad5535,Called support on ticket 2947
28,Jamie,Patel,NY,hughesdanielle@example.com,001-273-459-2832x9701,*******8214,***************8685,0bfa3559d6d91a8d2c70f46ad4fb29650577b7030fd3f86772161cebca0a1be2,Called support on ticket 1456
29,Jamie,Garcia,BOS,michaeljenkins@example.org,(580)503-0651,*******2135,***************6964,0da47b4325e62ed9aa8252df1a93e6cdb8cc5dd247f1586721f4d8582832f890,Called support on ticket 4919
